Pos,Name,Time,Category (POS),Gender (POS),Swim,T1,Cycle,T2,Run,Bib,Category_pos,Gender_pos,Category,Gender
549,Shimomura YASUFUMI ,12:40:39,30-34 (59),Male (456),01:19:23,00:10:46,06:08:35,00:07:50,04:54:03,#591,59,456,30-34,Male 
550,Michael JONES ,12:40:39,40-44 (87),Male (457),01:13:10,00:05:26,05:36:31,00:06:29,05:39:01,#767,87,457,40-44,Male 
551,Jonathan HODGE ,12:40:46,30-34 (60),Male (458),01:20:57,00:08:55,06:27:10,00:05:51,04:37:52,#540,60,458,30-34,Male 
552,Lars WESSING ,12:41:20,50-54 (41),Male (459),01:30:28,00:09:15,05:33:13,00:09:25,05:18:57,#1070,41,459,50-54,Male 
553,Nick BROWN ,12:41:43,55-59 (22),Male (460),01:07:18,00:10:54,06:06:05,00:11:04,05:06:21,#1102,22,460,55-59,Male 
554,Roger FOCK ,12:42:40,35-39 (71),Male (461),01:21:52,00:12:40,06:09:04,00:09:28,04:49:34,#629,71,461,35-39,Male 
555,Jonathan PERRIN ,12:43:00,50-54 (42),Male (462),01:27:26,00:08:00,05:55:10,00:07:58,05:04:24,#195,42,462,50-54,Male 
556,Michael ALLEN ,12:43:40,45-49 (103),Male (463),01:24:13,00:06:23,05:33:37,00:06:16,05:33:09,#859,103,463,45-49,Male 
557,Sarah LANG ,12:43:54,35-39 (21),Female (94),01:09:47,00:04:37,05:46:40,00:04:43,05:38:06,#301,21,94,35-39,Female 
558,Emerson MOLINA ,12:44:31,40-44 (88),Male (464),01:28:15,00:05:49,05:56:05,00:06:29,05:07:50,#783,88,464,40-44,Male 
559,Francesco FERRARESE ,12:44:49,30-34 (61),Male (465),01:08:37,00:08:02,05:51:02,00:05:48,05:31:19,#532,61,465,30-34,Male 
560,Vanessa HALL ,12:45:23,45-49 (18),Female (95),01:24:27,00:08:12,06:16:38,00:08:14,04:47:51,#299,18,95,45-49,Female 
561,Lily TOWLER ,12:45:42,18-24 (2),Female (96),01:04:42,00:04:48,06:03:35,00:02:47,05:29:48,#441,2,96,18-24,Female 
562,Rafi PAPAZIAN ,12:46:02,35-39 (72),Male (466),01:20:10,00:06:15,06:00:20,00:07:01,05:12:14,#108,72,466,35-39,Male 
563,Hiroto TAKADA ,12:46:29,35-39 (73),Male (467),01:28:32,00:07:39,06:06:12,00:04:40,04:59:23,#695,73,467,35-39,Male 
564,Alistair HOOD ,12:46:54,55-59 (23),Male (468),01:18:40,00:06:20,06:02:41,00:06:24,05:12:46,#365,23,468,55-59,Male 
565,Matthew TAN SZE PIAO ,12:47:25,40-44 (89),Male (469),01:23:39,00:07:22,06:24:20,00:07:28,04:44:35,#814,89,469,40-44,Male 
566,Andy WOOD-RICH ,12:47:27,45-49 (104),Male (470),01:20:04,00:05:39,06:00:40,00:03:58,05:17:04,#241,104,470,45-49,Male 
567,Stephen LAKE ,12:47:31,45-49 (105),Male (471),01:34:13,00:12:01,05:59:31,00:09:01,04:52:43,#917,105,471,45-49,Male 
568,Ben PRATT ,12:47:58,35-39 (74),Male (472),01:17:04,00:12:41,05:46:35,00:07:44,05:23:52,#676,74,472,35-39,Male 
569,Duncan COOPER ,12:48:17,55-59 (24),Male (473),01:53:35,00:09:11,06:07:10,00:06:20,04:31:59,#1106,24,473,55-59,Male 
570,Makoto TAKESAKO ,12:48:23,50-54 (43),Male (474),01:23:21,00:09:03,06:13:25,00:09:38,04:52:54,#356,43,474,50-54,Male 
571,Scott HODDER ,12:48:25,50-54 (44),Male (475),01:23:53,00:09:23,05:38:46,00:08:08,05:28:12,#226,44,475,50-54,Male 
572,Peter MARR ,12:48:25,55-59 (25),Male (476),01:13:18,00:08:38,06:08:23,00:09:49,05:08:15,#1116,25,476,55-59,Male 
573,Holly HESTER ,12:48:32,25-29 (9),Female (97),01:05:11,00:07:33,06:38:51,00:09:20,04:47:36,#499,9,97,25-29,Female 
574,Ross WAKEHAM ,12:48:49,30-34 (62),Male (477),01:26:06,00:04:55,06:37:54,00:02:35,04:37:16,#583,62,477,30-34,Male 
575,Guilherme PENA ,12:48:56,30-34 (63),Male (478),01:28:02,00:08:33,06:04:59,00:07:07,05:00:13,#562,63,478,30-34,Male 
576,Mark VAN DER LINDEN ,12:50:10,40-44 (90),Male (479),01:16:31,00:07:43,06:14:25,00:09:33,05:01:56,#346,90,479,40-44,Male 
577,Kelly THOMPSON ,12:50:13,45-49 (19),Female (98),01:21:01,00:08:53,06:13:01,00:09:38,04:57:37,#1012,19,98,45-49,Female 
578,Jo EDMONDSON ,12:50:20,45-49 (20),Female (99),01:20:06,00:07:41,06:03:47,00:08:06,05:10:38,#991,20,99,45-49,Female 
579,Andrew GAULT ,12:50:48,45-49 (106),Male (480),01:14:56,00:09:25,05:58:37,00:14:52,05:12:56,#258,106,480,45-49,Male 
580,Paul WALLACE ,12:51:16,50-54 (45),Male (481),01:09:25,00:05:33,06:20:54,00:09:11,05:06:11,#10036,45,481,50-54,Male 
581,Terry PAYNE ,12:51:53,50-54 (46),Male (482),01:07:44,00:06:34,06:04:31,00:07:05,05:25:58,#1056,46,482,50-54,Male 
582,Angelo ZANICHELLI ,12:51:59,45-49 (107),Male (483),01:14:18,00:15:05,06:00:39,00:12:27,05:09:28,#981,107,483,45-49,Male 
583,Ee Poh ONG ,12:52:13,40-44 (91),Male (484),01:27:53,00:10:32,06:02:57,00:16:52,04:53:56,#789,91,484,40-44,Male 
584,Woon Liang LOH ,12:52:20,35-39 (75),Male (485),01:37:26,00:12:25,06:05:58,00:12:25,04:44:04,#655,75,485,35-39,Male 
585,Michael KOUTSOUKIS ,12:52:30,60-64 (7),Male (486),01:32:47,00:14:59,06:28:08,00:09:44,04:26:49,#253,7,486,60-64,Male 
586,Ben MARNER ,12:53:04,35-39 (76),Male (487),01:08:35,00:04:44,06:27:20,00:09:30,05:02:53,#659,76,487,35-39,Male 
587,Lara CANN ,12:53:11,30-34 (12),Female (100),01:05:14,00:05:22,06:18:34,00:04:33,05:19:25,#594,12,100,30-34,Female 
588,Ed HOUGHTON ,12:53:41,40-44 (92),Male (488),01:16:25,00:07:05,06:34:26,00:04:52,04:50:50,#762,92,488,40-44,Male 
589,Gerhard VILJOEN ,12:54:00,50-54 (47),Male (489),01:23:50,00:09:03,05:58:53,00:07:42,05:14:30,#1067,47,489,50-54,Male 
590,Nicholas GRIFFIN ,12:54:35,45-49 (108),Male (490),01:21:53,00:08:01,06:25:09,00:09:58,04:49:33,#892,108,490,45-49,Male 
591,Mark BLAKE ,12:54:40,60-64 (8),Male (491),01:20:57,00:08:37,06:39:50,00:07:58,04:37:16,#1147,8,491,60-64,Male 
592,Tony WEBER ,12:55:05,55-59 (26),Male (492),01:24:59,00:06:42,06:18:18,00:04:19,05:00:44,#132,26,492,55-59,Male 
593,Keith GREENOUGH ,12:55:10,65-69 (3),Male (493),01:13:34,00:09:39,06:10:10,00:06:49,05:14:57,#163,3,493,65-69,Male 
594,Stephen EDWARDS ,12:55:19,45-49 (109),Male (494),01:12:02,00:07:28,05:52:24,00:07:06,05:36:17,#302,109,494,45-49,Male 
595,Aoife HORGAN ,12:55:28,35-39 (22),Female (101),01:21:33,00:06:54,06:26:08,00:05:21,04:55:31,#228,22,101,35-39,Female 
596,Carlos RODRIGUEZ ,12:55:56,30-34 (64),Male (495),01:23:21,00:05:17,06:23:02,00:08:35,04:55:38,#566,64,495,30-34,Male 
597,Geoff OLIVER ,12:56:25,50-54 (48),Male (496),01:15:46,00:09:15,05:43:48,00:08:52,05:38:41,#1053,48,496,50-54,Male 
598,Simon CROSS ,12:57:21,50-54 (49),Male (497),01:15:52,00:06:58,05:21:44,00:11:00,06:01:45,#247,49,497,50-54,Male 
599,Lee-Emma NORMAN ,12:57:39,30-34 (13),Female (102),01:20:51,00:05:51,05:53:36,00:05:44,05:31:35,#603,13,102,30-34,Female 
600,Damien DURHAM ,12:58:06,40-44 (93),Male (498),01:14:03,00:08:13,05:55:00,00:11:09,05:29:40,#752,93,498,40-44,Male 
601,Naomi HARTLEY ,12:58:22,35-39 (23),Female (103),01:13:37,00:07:04,06:15:29,00:06:56,05:15:15,#715,23,103,35-39,Female 
602,Max MARTON ,12:58:32,55-59 (27),Male (499),01:21:01,00:09:26,06:10:05,00:08:54,05:09:04,#1117,27,499,55-59,Male 
603,Pamela PEMBERTON ,12:58:52,50-54 (10),Female (104),01:25:50,00:05:15,06:10:34,00:07:10,05:10:02,#1095,10,104,50-54,Female 
604,Adrian CHRISTIAN ,12:59:15,45-49 (110),Male (500),01:12:42,00:11:24,06:13:56,00:09:08,05:12:03,#869,110,500,45-49,Male 
605,Nigel BROWN ,13:00:07,50-54 (50),Male (501),01:13:31,00:07:07,06:08:16,00:05:54,05:25:18,#1018,50,501,50-54,Male 
606,Jaime MARTINEZ ,13:00:09,45-49 (111),Male (502),01:28:36,00:09:49,06:26:07,00:09:34,04:46:03,#1196,111,502,45-49,Male 
607,Sei ISHII ,13:00:13,35-39 (77),Male (503),01:30:24,00:12:08,06:22:04,00:08:59,04:46:36,#1191,77,503,35-39,Male 
608,Carolyn KERR ,13:00:46,45-49 (21),Female (105),01:24:32,00:07:41,06:16:09,00:09:21,05:03:02,#400,21,105,45-49,Female 
609,Kate ANDERSON ,13:01:15,55-59 (4),Female (106),01:12:44,00:08:41,06:02:18,00:08:18,05:29:13,#1138,4,106,55-59,Female 
610,Tony SUTERS ,13:01:34,60-64 (9),Male (504),01:07:01,00:04:02,05:51:49,00:06:23,05:52:17,#252,9,504,60-64,Male 
611,Robin FERDINANDS ,13:01:37,45-49 (112),Male (505),01:17:26,00:12:46,06:22:59,00:12:16,04:56:08,#887,112,505,45-49,Male 
612,Stuart MCCORMACK ,13:01:48,35-39 (78),Male (506),01:30:56,00:06:01,05:55:15,00:07:20,05:22:14,#402,78,506,35-39,Male 
613,Brendan MILLER ,13:02:44,45-49 (113),Male (507),01:02:02,00:05:17,06:22:25,00:06:11,05:26:47,#931,113,507,45-49,Male 
614,James KING ,13:03:00,35-39 (79),Male (508),01:14:27,00:14:03,06:24:07,00:11:21,04:59:00,#645,79,508,35-39,Male 
615,Christian GILLES ,13:03:21,35-39 (80),Male (509),01:24:17,00:08:16,06:27:09,00:08:07,04:55:29,#361,80,509,35-39,Male 
616,Koichi YOSHIKAWA ,13:03:47,50-54 (51),Male (510),01:10:29,00:07:03,06:08:40,00:05:19,05:32:14,#1076,51,510,50-54,Male 
617,Wayne THRELFALL ,13:03:49,40-44 (94),Male (511),01:08:02,00:05:10,05:36:20,00:06:10,06:08:05,#816,94,511,40-44,Male 
618,Nick TAYLOR ,13:03:59,55-59 (28),Male (512),01:17:12,00:06:27,06:13:32,00:06:19,05:20:27,#203,28,512,55-59,Male 
619,Jason WALKER ,13:04:19,25-29 (49),Male (513),01:21:37,00:09:08,06:22:47,00:05:54,05:04:51,#1213,49,513,25-29,Male 
620,Josh PRESTNEY ,13:04:41,25-29 (50),Male (514),01:22:19,00:08:23,06:31:39,00:06:24,04:55:53,#481,50,514,25-29,Male 
621,Justin LEE ,13:05:38,45-49 (114),Male (515),01:13:22,00:09:07,06:04:22,00:09:19,05:29:27,#918,114,515,45-49,Male 
622,Gordon BELL ,13:05:43,55-59 (29),Male (516),01:04:44,00:05:18,05:50:55,00:09:09,05:55:36,#213,29,516,55-59,Male 
623,Chris HOWES ,13:06:07,55-59 (30),Male (517),01:05:12,00:09:14,06:08:35,00:06:43,05:36:21,#1112,30,517,55-59,Male 
624,Lachlan IRELAND ,13:06:17,25-29 (51),Male (518),01:15:51,00:08:13,06:02:27,00:08:45,05:31:00,#462,51,518,25-29,Male 
625,Mickey MURRAY ,13:06:39,50-54 (52),Male (519),01:22:20,00:09:23,06:22:33,00:03:16,05:09:05,#1049,52,519,50-54,Male 
626,Thomas BALLARD ,13:07:23,30-34 (65),Male (520),01:18:37,00:08:06,06:20:39,00:05:34,05:14:26,#367,65,520,30-34,Male 
627,Lachlan DAMHUIS ,13:07:49,30-34 (66),Male (521),01:22:32,00:13:52,06:02:13,00:14:18,05:14:52,#527,66,521,30-34,Male 
628,Terry HUGHES ,13:09:06,30-34 (67),Male (522),01:09:29,00:10:05,06:24:46,00:08:55,05:15:48,#541,67,522,30-34,Male 
629,Morgan FORD ,13:09:07,35-39 (81),Male (523),01:18:53,00:07:08,05:36:48,00:05:09,06:01:08,#630,81,523,35-39,Male 
630,Chris CRAWFORD ,13:09:16,45-49 (115),Male (524),01:30:17,00:05:49,05:38:37,00:07:54,05:46:37,#875,115,524,45-49,Male 
631,Vincent COBEE ,13:10:03,50-54 (53),Male (525),01:14:23,00:13:32,06:16:32,00:12:51,05:12:43,#1025,53,525,50-54,Male 
632,Teresa SODEN ,13:10:06,40-44 (16),Female (107),01:34:52,00:07:53,06:50:42,00:07:43,04:28:54,#852,16,107,40-44,Female 
633,Gary DE-VRIES ,13:10:08,40-44 (95),Male (526),01:12:55,00:12:15,05:41:05,00:07:27,05:56:23,#749,95,526,40-44,Male 
634,Kathy RAFFERTY ,13:10:16,50-54 (11),Female (108),01:32:03,00:09:09,06:05:25,00:10:52,05:12:46,#1096,11,108,50-54,Female 
635,Marcela RUBIO ,13:10:18,45-49 (22),Female (109),01:26:42,00:09:10,06:47:30,00:06:45,04:40:10,#1010,22,109,45-49,Female 
636,Paul FRANCIS ,13:10:19,60-64 (10),Male (527),01:07:14,00:05:44,05:44:43,00:05:53,06:06:43,#238,10,527,60-64,Male 
637,Shinya NAWA ,13:10:28,18-24 (13),Male (528),01:11:48,00:09:09,06:40:03,00:08:24,05:01:03,#432,13,528,18-24,Male 
638,Hideaki MATSUOKA ,13:10:29,45-49 (116),Male (529),01:42:16,00:06:26,06:19:18,00:05:53,04:56:34,#927,116,529,45-49,Male 
639,Matt PILBEAM ,13:10:31,40-44 (96),Male (530),01:28:37,00:05:39,05:47:19,00:08:58,05:39:56,#795,96,530,40-44,Male 
640,Jason HOW ,13:10:35,40-44 (97),Male (531),01:15:40,00:08:06,05:48:06,00:12:30,05:46:10,#389,97,531,40-44,Male 
641,Darrin GRIFFITHS ,13:11:09,45-49 (117),Male (532),01:20:51,00:09:31,06:04:58,00:08:51,05:26:56,#396,117,532,45-49,Male 
642,Alvaro HILLERNS VELASCO ,13:11:37,40-44 (98),Male (533),01:15:23,00:07:11,06:28:20,00:07:38,05:13:02,#373,98,533,40-44,Male 
643,John DE JONG ,13:11:45,45-49 (118),Male (534),01:28:36,00:14:46,06:32:51,00:13:01,04:42:29,#878,118,534,45-49,Male 
644,Nicole TZIAVARAS ,13:11:54,50-54 (12),Female (110),01:21:02,00:08:11,06:11:36,00:05:51,05:25:12,#320,12,110,50-54,Female 
645,Jorge SEPULVEDA ,13:12:02,50-54 (54),Male (535),01:24:57,00:12:04,06:26:04,00:10:28,04:58:27,#1060,54,535,50-54,Male 
646,David DILLON ,13:12:49,25-29 (52),Male (536),01:10:48,00:06:44,05:56:21,00:06:06,05:52:49,#451,52,536,25-29,Male 
647,Masuo MIYAKAWA ,13:13:20,40-44 (99),Male (537),01:02:23,00:04:52,05:56:58,00:05:06,06:04:00,#780,99,537,40-44,Male 
648,Solomon DAW ,13:14:31,35-39 (82),Male (538),01:17:33,00:12:57,05:55:05,00:08:08,05:40:46,#101,82,538,35-39,Male 
649,Masaru NIIMI ,13:14:39,50-54 (55),Male (539),01:30:46,00:06:26,06:03:26,00:06:06,05:27:52,#1051,55,539,50-54,Male 
650,Amber FOLMER ,13:15:04,35-39 (24),Female (111),01:23:41,00:08:22,06:29:19,00:07:24,05:06:16,#713,24,111,35-39,Female 
651,Michelle GROCOCK ,13:15:43,45-49 (23),Female (112),01:33:33,00:07:10,06:39:59,00:04:17,04:50:41,#340,23,112,45-49,Female 
652,Paul AZZOPARDI ,13:16:27,40-44 (100),Male (540),01:10:21,00:04:49,06:30:42,00:08:41,05:21:52,#731,100,540,40-44,Male 
653,Matt BURNET ,13:18:21,45-49 (119),Male (541),01:23:29,00:08:48,05:37:06,00:07:53,06:01:03,#866,119,541,45-49,Male 
654,Roderick KILBORN ,13:18:26,40-44 (101),Male (542),01:12:36,00:05:57,05:54:41,00:12:02,05:53:09,#311,101,542,40-44,Male 
655,Simon THOMPSON ,13:18:50,50-54 (56),Male (543),01:11:47,00:09:31,06:13:10,00:06:09,05:38:12,#1204,56,543,50-54,Male 
656,Sam BROWN ,13:18:54,40-44 (102),Male (544),01:17:32,00:11:55,06:03:37,00:16:05,05:29:42,#1178,102,544,40-44,Male 
657,Adrian BARRON ,13:19:10,50-54 (57),Male (545),01:17:07,00:16:22,06:28:57,00:10:27,05:06:14,#1177,57,545,50-54,Male 
658,Craig HAMILTON ,13:19:17,40-44 (103),Male (546),01:31:14,00:05:39,05:54:17,00:07:05,05:40:59,#181,103,546,40-44,Male 
659,Malc PEARCE ,13:20:02,55-59 (31),Male (547),00:59:21,00:05:55,06:53:34,00:07:48,05:13:22,#1120,31,547,55-59,Male 
660,Ross PAINE ,13:20:51,30-34 (68),Male (548),01:20:40,00:05:19,06:20:02,00:05:11,05:29:38,#560,68,548,30-34,Male 
661,Dan Carlo TORRES ,13:20:58,30-34 (69),Male (549),01:23:06,00:13:48,06:33:54,00:08:38,05:01:30,#581,69,549,30-34,Male 
662,Ellen BROOKSBANK ,13:21:10,25-29 (10),Female (113),01:18:41,00:08:11,06:52:06,00:05:51,04:56:20,#492,10,113,25-29,Female 
663,Mark WILLIAMS ,13:21:57,50-54 (58),Male (550),01:29:18,00:09:09,06:12:52,00:07:59,05:22:36,#105,58,550,50-54,Male 
664,Tatsuo MIZUNO ,13:22:53,45-49 (120),Male (551),01:24:26,00:12:03,06:23:00,00:11:32,05:11:49,#934,120,551,45-49,Male 
665,Jonelle AINSWORTH ,13:23:42,35-39 (25),Female (114),01:24:30,00:11:21,06:21:48,00:10:51,05:15:10,#705,25,114,35-39,Female 
666,David WALDON ,13:23:43,25-29 (53),Male (552),01:22:38,00:15:04,06:37:26,00:08:32,05:00:03,#486,53,552,25-29,Male 
667,Diane TREMAIN ,13:24:10,45-49 (24),Female (115),01:22:04,00:07:18,06:43:52,00:06:37,05:04:17,#1013,24,115,45-49,Female 
668,Naotake TSUCHIYA ,13:24:28,40-44 (104),Male (553),01:13:11,00:14:42,06:13:26,00:12:59,05:30:08,#1206,104,553,40-44,Male 
669,Kate SOMMERVILLE ,13:24:43,45-49 (25),Female (116),01:15:46,00:06:53,06:42:25,00:07:06,05:12:31,#307,25,116,45-49,Female 
670,Greg NUGENT ,13:24:58,60-64 (11),Male (554),01:14:55,00:08:07,06:19:26,00:08:03,05:34:25,#1153,11,554,60-64,Male 
671,Jarrad DOHERTY ,13:24:59,45-49 (121),Male (555),01:16:18,00:07:16,06:25:19,00:10:05,05:26:00,#881,121,555,45-49,Male 
672,Anton HINTON-BAYRE ,13:26:47,45-49 (122),Male (556),01:09:56,00:07:53,06:12:05,00:10:14,05:46:36,#1189,122,556,45-49,Male 
673,Mark ZAGLAS ,13:27:04,45-49 (123),Male (557),01:13:47,00:12:54,06:36:10,00:09:00,05:15:11,#980,123,557,45-49,Male 
674,Des WIESE ,13:29:24,45-49 (124),Male (558),01:16:17,00:07:34,06:28:32,00:08:23,05:28:36,#972,124,558,45-49,Male 
675,Kah Wang LEE ,13:30:15,30-34 (70),Male (559),01:41:32,00:12:55,06:52:13,00:05:59,04:37:34,#343,70,559,30-34,Male 
676,Darren TRAVERS ,13:30:27,18-24 (14),Male (560),00:59:06,00:04:52,06:23:35,00:06:27,05:56:26,#1205,14,560,18-24,Male 
677,Christopher LORD ,13:31:25,50-54 (59),Male (561),01:28:41,00:06:12,06:45:47,00:03:25,05:07:19,#1045,59,561,50-54,Male 
678,Maree KUNST ,13:31:32,35-39 (26),Female (117),01:30:57,00:13:08,06:45:37,00:09:13,04:52:35,#718,26,117,35-39,Female 
679,Andrea MRSA ,13:31:32,25-29 (11),Female (118),01:09:59,00:09:08,06:16:56,00:11:42,05:43:46,#505,11,118,25-29,Female 
680,Kristian RÖHL ,13:32:02,50-54 (60),Male (562),01:25:01,00:06:42,05:55:20,00:07:29,05:57:29,#242,60,562,50-54,Male 
681,Rodrigo CORREA ,13:33:06,50-54 (61),Male (563),01:06:48,00:08:34,06:47:29,00:18:51,05:11:22,#1027,61,563,50-54,Male 
682,Katsunori TAKAHASHI ,13:33:12,40-44 (105),Male (564),01:36:02,00:09:35,06:14:48,00:11:15,05:21:30,#813,105,564,40-44,Male 
683,Peter TOMLINSON ,13:33:18,50-54 (62),Male (565),01:16:07,00:07:27,06:23:49,00:09:59,05:35:55,#1066,62,565,50-54,Male 
684,Dean VOKES ,13:33:27,45-49 (125),Male (566),01:07:37,00:06:37,05:52:41,00:10:58,06:15:31,#968,125,566,45-49,Male 
685,Lindsay RICHARDS ,13:33:34,55-59 (5),Female (119),01:20:48,00:08:24,06:12:17,00:07:58,05:44:04,#1143,5,119,55-59,Female 
686,John DOMICAN ,13:33:48,55-59 (32),Male (567),01:14:49,00:06:41,05:45:40,00:06:06,06:20:29,#14010,32,567,55-59,Male 
687,Kat MARIK ,13:34:05,30-34 (14),Female (120),01:27:05,00:07:37,06:35:25,00:08:56,05:15:01,#293,14,120,30-34,Female 
688,Ineke MOYLE ,13:34:39,40-44 (17),Female (121),01:36:42,00:11:53,06:49:44,00:09:48,04:46:30,#846,17,121,40-44,Female 
689,Trudi SHEARER ,13:34:41,50-54 (13),Female (122),01:14:39,00:05:40,06:32:44,00:04:04,05:37:33,#300,13,122,50-54,Female 
690,Ryan JEWELL ,13:34:42,35-39 (83),Male (568),01:44:39,00:10:17,06:21:33,00:11:08,05:07:03,#641,83,568,35-39,Male 
691,Dee GRAY ,13:35:00,45-49 (26),Female (123),01:29:22,00:10:26,06:29:18,00:08:59,05:16:53,#994,26,123,45-49,Female 
692,Jennifer MACCARONE ,13:35:23,35-39 (27),Female (124),01:28:07,00:10:16,06:22:17,00:08:44,05:25:58,#222,27,124,35-39,Female 
693,Jeffrey DICK ,13:35:31,60-64 (12),Male (569),01:48:00,00:14:09,06:40:41,00:12:29,04:40:10,#1150,12,569,60-64,Male 
694,Anthony GRAHAM ,13:35:42,30-34 (71),Male (570),01:33:09,00:11:05,06:40:53,00:11:05,04:59:28,#1185,71,570,30-34,Male 
695,Martin SLABBERT ,13:36:01,55-59 (33),Male (571),01:31:35,00:09:40,06:25:44,00:07:44,05:21:17,#104,33,571,55-59,Male 
696,Oleg BORODAVKIN ,13:36:37,30-34 (72),Male (572),01:18:10,00:11:21,05:49:59,00:06:10,06:10:56,#514,72,572,30-34,Male 
697,Stephanie Tsz Hei LAU ,13:37:22,25-29 (12),Female (125),01:26:03,00:07:10,06:47:58,00:04:54,05:11:15,#503,12,125,25-29,Female 
698,Lindsay LOCKHART ,13:38:17,50-54 (14),Female (126),01:21:12,00:06:27,06:33:08,00:10:08,05:27:19,#1195,14,126,50-54,Female 
699,Gareth GRATTON ,13:38:20,55-59 (34),Male (573),01:10:00,00:11:20,06:19:48,00:15:27,05:41:44,#1110,34,573,55-59,Male 
700,Jane ELTON ,13:38:38,50-54 (15),Female (127),01:46:50,00:10:24,06:52:34,00:06:44,04:42:05,#190,15,127,50-54,Female 
701,James EAVES ,13:39:35,45-49 (126),Male (574),01:19:23,00:08:57,06:04:21,00:06:31,06:00:21,#327,126,574,45-49,Male 
702,Shannon PIKE ,13:39:48,35-39 (84),Male (575),01:27:54,00:12:02,06:18:01,00:10:18,05:31:31,#674,84,575,35-39,Male 
703,Rommel FARO ,13:40:09,45-49 (127),Male (576),01:35:00,00:07:50,05:52:51,00:09:05,05:55:21,#886,127,576,45-49,Male 
704,Sarah FISHWICK ,13:41:35,45-49 (27),Female (128),01:09:54,00:06:46,06:21:32,00:07:22,05:55:59,#1181,27,128,45-49,Female 
705,Kim BRADLEY ,13:43:12,50-54 (16),Female (129),01:35:38,00:07:28,06:30:23,00:08:43,05:20:57,#290,16,129,50-54,Female 
706,Margaret TREMAYNE ,13:43:38,50-54 (17),Female (130),01:21:46,00:07:22,06:41:59,00:07:22,05:25:07,#10035,17,130,50-54,Female 
707,Pawat SUKHSRI ,13:43:50,35-39 (85),Male (577),01:24:24,00:13:33,07:05:05,00:07:35,04:53:11,#693,85,577,35-39,Male 
708,Takashi NARUKE ,13:44:06,40-44 (106),Male (578),01:26:55,00:08:22,06:44:36,00:08:05,05:16:05,#787,106,578,40-44,Male 
709,Ken AOKI ,13:44:10,45-49 (128),Male (579),01:40:19,00:07:29,06:51:23,00:05:15,04:59:42,#860,128,579,45-49,Male 
710,Sue SCOTT ,13:44:35,45-49 (28),Female (131),01:14:00,00:11:17,06:24:14,00:08:43,05:46:18,#1011,28,131,45-49,Female 
711,Alan WEATHERHEAD ,13:45:31,45-49 (129),Male (580),01:22:08,00:13:03,06:10:57,00:13:29,05:45:53,#971,129,580,45-49,Male 
712,Brett JOHNSON ,13:46:03,35-39 (86),Male (581),01:22:02,00:12:55,06:50:48,00:07:18,05:12:58,#643,86,581,35-39,Male 
713,Mark CICCARELLI ,13:47:10,35-39 (87),Male (582),01:35:04,00:08:35,06:43:04,00:04:31,05:15:54,#622,87,582,35-39,Male 
714,Belinda WILLSHIRE ,13:48:17,40-44 (18),Female (132),01:47:16,00:10:55,06:48:10,00:11:10,04:50:44,#855,18,132,40-44,Female 
715,Adam BARNEY ,13:48:38,45-49 (130),Male (583),01:25:54,00:12:06,05:52:53,00:15:01,06:02:42,#1176,130,583,45-49,Male 
716,Erin GABRIEL ,13:49:06,25-29 (13),Female (133),01:11:41,00:05:33,06:53:52,00:08:57,05:29:01,#497,13,133,25-29,Female 
717,Katherine HOPE ,13:49:36,25-29 (14),Female (134),01:24:06,00:11:11,06:37:08,00:10:57,05:26:12,#501,14,134,25-29,Female 
718,Kerryn HARVEY ,13:49:37,PC (1),Female (135),01:39:21,00:09:15,06:54:02,00:09:08,04:57:48,#1268,1,135,PC,Female 
719,Rose BYASS ,13:50:27,40-44 (19),Female (136),01:20:25,00:07:06,06:43:35,00:05:31,05:33:48,#835,19,136,40-44,Female 
720,Kirsten LAMBERT ,13:50:45,50-54 (18),Female (137),01:45:03,00:14:52,06:44:15,00:14:42,04:51:51,#1090,18,137,50-54,Female 
721,Roger BRANFORD ,13:52:13,55-59 (35),Male (584),01:31:03,00:08:25,06:16:02,00:12:45,05:43:56,#1100,35,584,55-59,Male 
722,Justin POULTON ,13:52:20,30-34 (73),Male (585),01:10:19,00:07:21,06:26:45,00:06:06,06:01:47,#563,73,585,30-34,Male 
723,Scott JOHNSON ,13:52:22,35-39 (88),Male (586),01:10:20,00:04:36,06:18:19,00:17:17,06:01:47,#642,88,586,35-39,Male 
724,Anderson TJITRA ,13:52:22,30-34 (74),Male (587),01:23:30,00:12:59,06:26:05,00:07:24,05:42:22,#580,74,587,30-34,Male 
725,Chantelle VORENBERG ,13:53:22,40-44 (20),Female (138),01:22:16,00:09:22,06:17:06,00:08:48,05:55:48,#329,20,138,40-44,Female 
726,Greg SPECHT ,13:53:37,60-64 (13),Male (588),01:07:33,00:09:50,05:56:52,00:12:53,06:26:26,#1156,13,588,60-64,Male 
727,Steven SIMS ,13:53:48,35-39 (89),Male (589),01:44:29,00:07:44,06:20:25,00:04:29,05:36:38,#687,89,589,35-39,Male 
728,Jake O'BRIEN ,13:54:07,18-24 (15),Male (590),01:09:39,00:15:25,07:06:41,00:07:35,05:14:46,#433,15,590,18-24,Male 
729,Seishin MITSUI ,13:54:12,35-39 (90),Male (591),01:38:27,00:19:28,06:27:01,00:08:27,05:20:46,#664,90,591,35-39,Male 
730,Surachet NAKWONG ,13:54:15,40-44 (107),Male (592),01:36:50,00:12:58,06:51:07,00:04:35,05:08:43,#786,107,592,40-44,Male 
